Hour_Global,Hour_Local,Time,Load_W,Load_kW,Cumulative_Energy_Wh,Cumulative_Energy_kWh,SOC_Percent,Remaining_Energy_kWh,Cumulative_Drawn_kWh
19,1,19:00,70.0,0.07,70.0,0.07,91.8048418972332,0.8168363527662227,0.07
20,2,20:00,70.0,0.07,140.0,0.14,83.60968379446642,0.743919686099556,0.14
21,3,21:00,70.0,0.07,210.0,0.21000000000000002,75.41452569169962,0.6710030194328894,0.21000000000000002
22,4,22:00,70.0,0.07,280.0,0.28,67.21936758893283,0.5980863527662228,0.28
23,5,23:00,70.0,0.07,350.0,0.35000000000000003,59.024209486166036,0.5251696860995562,0.35000000000000003
24,6,00:00,70.0,0.07,420.0,0.42000000000000004,50.82905138339924,0.4522530194328895,0.42000000000000004
25,7,01:00,70.0,0.07,490.0,0.49000000000000005,42.633893280632435,0.3793363527662228,0.49000000000000005
26,8,02:00,70.0,0.07,560.0,0.56,34.43873517786564,0.3064196860995561,0.56
