Category,Metrics,Values
Generator Specifications,11 kW (11 kVA) Petrol Generator,"₦850,000 purchase"
Fuel Parameters,Petrol @ ₦900/L,"₦21,297 daily fuel cost"
Daily Operational,"32.9 kWh energy, 23.7 L fuel","₦26,100 total daily cost"
Cost Metrics,₦795/kWh (with all costs),622% premium vs grid
Monthly Projections,"₦783,003 total monthly cost",710 L monthly fuel
Annual Projections,"₦9,526,539 total annual cost","8,637 L annual fuel"
Efficiency Metrics,14.3% overall efficiency,12.4% capacity factor
