Option,CAPEX (₦M),Annual OM (₦M),Annual Energy Cost (₦M),Total Lifecycle Cost (₦M),LCOE (₦/kWh),Reliability (%),CO₂ (tonnes/yr),Total CO₂ (tonnes),Solar (kWp),Battery (kWh),Battery Replacement (₦M),Diesel Backup Annual (₦M),PHS Turbine (kW),PHS Storage (kWh)
Grid Extension,170.0,3.4,6.94595,247.27849026511205,195.80211439156864,65.0,53.67325,1073.4650000000001,,,,,,
Solar + Battery,88.5,1.0875,,139.37359824615558,110.35996377080971,86.37858882772173,18.406653781333148,368.13307562666296,40.0,90.0,36.0,4.171601441096532,,
Solar + PHS,56.5,0.565,,71.25548008592443,56.422107915056166,95.39451198378116,6.2234097727805615,124.46819545561124,40.0,,,1.4104456728030708,30.0,100.0
