Scenario,PV (kWp),Gen (kW),PHS (kW/kWh),Energy Served (kWh),Reliability (%),Curtailment (kWh),Diesel (L/day),CO₂ (kg/day),Capital Cost (₦M),Annualized Cost (₦M),LCOE (₦/kWh)
Solar-only,200,0,0/0,454.11358024691356,41.062064186099676,425.8864197530864,0.0,0.0,240,32.999992754281855,199.09322906324047
Solar+Diesel,100,120,0/0,1105.92,100.0,61.390123456790086,218.19303703703702,584.7573392592592,132,87.75819608779979,217.40579240738703
Solar+PHS,200,0,100/1000,1097.92,99.27662037037037,0.0,0.0,0.0,300,40.94999094285232,102.18572938630734
